department_id,department_name,division,size_band,baseline_ai_readiness
DEPT_001,Department of Psychology 1,Social Science,large,0.29
DEPT_002,Department of History 2,Humanities,large,0.17
DEPT_003,Department of Social Work 3,Social Science,large,0.4
DEPT_004,Department of Sociology 4,Social Science,small,0.26
DEPT_005,Department of Human Development 5,Social Science,large,0.24
DEPT_006,Department of Social Work 6,Engineering,small,0.41
DEPT_007,Department of Political Science 7,Social Science,small,0.59
DEPT_008,Department of Anthropology 8,Natural Science,small,0.25
DEPT_009,Department of Anthropology 9,Social Science,small,0.37
DEPT_010,Department of Anthropology 10,Natural Science,large,0.29
